administrative_division_code,secondary_medical_area_code,secondary_medical_area_name
33102,3301,県南東部
33103,3301,県南東部
33104,3301,県南東部
33202,3302,県南西部
33203,3305,津山・英田
33204,3301,県南東部
33205,3302,県南西部
33207,3302,県南西部
33208,3302,県南西部
33209,3303,高梁・新見
33210,3303,高梁・新見
33211,3301,県南東部
33212,3301,県南東部
33213,3301,県南東部
33214,3304,真庭
33215,3305,津山・英田
33216,3302,県南西部
33346,3301,県南東部
33423,3302,県南西部
33445,3302,県南西部
33461,3302,県南西部
33586,3304,真庭
33606,3305,津山・英田
33622,3305,津山・英田
33623,3305,津山・英田
33643,3305,津山・英田
33663,3305,津山・英田
33666,3305,津山・英田
33681,3301,県南東部
34101,3401,広島
34102,3401,広島
34103,3401,広島
34104,3401,広島
34105,3401,広島
34106,3401,広島
34107,3401,広島
34108,3401,広島
34202,3403,呉
34203,3404,広島中央
34204,3405,尾三
34205,3405,尾三
34207,3406,福山・府中
34208,3406,福山・府中
34209,3407,備北
34210,3407,備北
34211,3402,広島西
34212,3404,広島中央
34213,3402,広島西
34214,3401,広島
34215,3403,呉
34302,3401,広島
34304,3401,広島
34307,3401,広島
34309,3401,広島
34368,3401,広島
34369,3401,広島
34431,3404,広島中央
34462,3405,尾三
34545,3406,福山・府中
35201,3506,下関
35202,3505,宇部・小野田
35203,3504,山口・防府
35204,3508,萩
35206,3504,山口・防府
35207,3503,周南
35208,3501,岩国
35210,3503,周南
35211,3507,長門
35212,3502,柳井
35213,3505,宇部・小野田
35215,3503,周南
35216,3505,宇部・小野田
35305,3502,柳井
35321,3501,岩国
35341,3502,柳井
35343,3502,柳井
35344,3502,柳井
35502,3508,萩
36201,3601,東部
36202,3601,東部
36203,3603,南部
36204,3603,南部
36205,3601,東部
36206,3601,東部
36207,3605,西部
36208,3605,西部
36301,3603,南部
36302,3603,南部
36321,3601,東部
36341,3601,東部
36342,3601,東部
36368,3603,南部
36383,3603,南部
36387,3603,南部
36388,3603,南部
36401,3601,東部
36402,3601,東部
36403,3601,東部
36404,3601,東部
36405,3601,東部
36468,3605,西部
36489,3605,西部
37201,3706,東部
37202,3707,西部
37203,3707,西部
37204,3707,西部
37205,3707,西部
37206,3706,東部
37207,3706,東部
37208,3707,西部
37322,3702,小豆
37324,3702,小豆
37341,3706,東部
37364,3706,東部
37386,3707,西部
37387,3707,西部
37403,3707,西部
37404,3707,西部
37406,3707,西部
38201,3804,松山
38202,3803,今治
38203,3806,宇和島
38204,3805,八幡浜・大洲
38205,3802,新居浜・西条
38206,3802,新居浜・西条
38207,3805,八幡浜・大洲
38210,3804,松山
38213,3801,宇摩
38214,3805,八幡浜・大洲
38215,3804,松山
38356,3803,今治
38386,3804,松山
38401,3804,松山
38402,3804,松山
38422,3805,八幡浜・大洲
