gestational_age_week,gestational_age_day,height_L,height_M,height_S,head_L,head_M,head_S
39,2,2.39,48.999,0.037,1.544,33.256,0.04
39,3,2.337,49.062,0.037,1.537,33.273,0.039
39,4,2.229,49.185,0.037,1.52,33.311,0.039
39,5,2.176,49.246,0.037,1.511,33.331,0.039
39,6,2.07,49.365,0.036,1.492,33.374,0.039
40,0,2.019,49.424,0.036,1.482,33.397,0.039
40,1,1.97,49.481,0.036,1.472,33.42,0.039
40,2,1.878,49.59,0.036,1.45,33.47,0.039
40,3,1.835,49.641,0.036,1.439,33.496,0.038
40,4,1.756,49.74,0.036,1.415,33.55,0.038
40,5,1.719,49.787,0.036,1.403,33.577,0.038
40,6,1.65,49.877,0.035,1.378,33.633,0.038
41,0,1.617,49.92,0.035,1.365,33.662,0.038
41,1,1.585,49.963,0.035,1.353,33.691,0.038
41,2,1.524,50.046,0.035,1.327,33.749,0.037
41,3,1.494,50.087,0.035,1.314,33.779,0.037
41,4,1.435,50.167,0.035,1.288,33.838,0.037
41,5,1.406,50.207,0.035,1.275,33.867,0.037
41,6,1.349,50.285,0.035,1.249,33.927,0.036
