administrative_division_code,municipality_or_ward_name,secondary_medical_area_code,secondary_medical_area_name,defined_in_plan_flag
27118,城東区,2708,大阪市,1
27119,阿倍野区,2708,大阪市,1
27120,住吉区,2708,大阪市,1
27121,東住吉区,2708,大阪市,1
27122,西成区,2708,大阪市,1
27123,淀川区,2708,大阪市,1
27124,鶴見区,2708,大阪市,1
27125,住之江区,2708,大阪市,1
27126,平野区,2708,大阪市,1
27127,北区,2708,大阪市,1
27128,中央区,2708,大阪市,1
27141,堺区,2706,堺市,1
27142,中区,2706,堺市,1
27143,東区,2706,堺市,1
27144,西区,2706,堺市,1
27145,南区,2706,堺市,1
27146,北区,2706,堺市,1
27147,美原区,2706,堺市,1
27202,岸和田市,2707,泉州,1
27203,豊中市,2701,豊能,1
27204,池田市,2701,豊能,1
27205,吹田市,2701,豊能,1
27206,泉大津市,2707,泉州,1
27207,高槻市,2702,三島,1
27208,貝塚市,2707,泉州,1
27209,守口市,2703,北河内,1
27210,枚方市,2703,北河内,1
27211,茨木市,2702,三島,1
27212,八尾市,2704,中河内,1
27213,泉佐野市,2707,泉州,1
27214,富田林市,2705,南河内,1
27215,寝屋川市,2703,北河内,1
27216,河内長野市,2705,南河内,1
27217,松原市,2705,南河内,1
27218,大東市,2703,北河内,1
27219,和泉市,2707,泉州,1
27220,箕面市,2701,豊能,1
27221,柏原市,2704,中河内,1
27222,羽曳野市,2705,南河内,1
27223,門真市,2703,北河内,1
27224,摂津市,2702,三島,1
27225,高石市,2707,泉州,1
27226,藤井寺市,2705,南河内,1
27227,東大阪市,2704,中河内,1
27228,泉南市,2707,泉州,1
27229,四條畷市,2703,北河内,1
27230,交野市,2703,北河内,1
27231,大阪狭山市,2705,南河内,1
27232,阪南市,2707,泉州,1
27301,島本町,2702,三島,1
27321,豊能町,2701,豊能,1
27322,能勢町,2701,豊能,1
27341,忠岡町,2707,泉州,1
27361,熊取町,2707,泉州,1
27362,田尻町,2707,泉州,1
27366,岬町,2707,泉州,1
27381,太子町,2705,南河内,1
27382,河南町,2705,南河内,1
27383,千早赤阪村,2705,南河内,1
28101,東灘区,2801,神戸,1
28102,灘区,2801,神戸,1
28105,兵庫区,2801,神戸,1
28106,長田区,2801,神戸,1
28107,須磨区,2801,神戸,1
28108,垂水区,2801,神戸,1
28109,北区,2801,神戸,1
28110,中央区,2801,神戸,1
28111,西区,2801,神戸,1
28201,姫路市,2812,播磨姫路,1
28202,尼崎市,2811,阪神,1
28203,明石市,2804,東播磨,1
